IPA Target,IPA Actual,error_pattern
bj,b,reduction-C1pres-C2del
bj,b,reduction-C1pres-C2del
bj,b,reduction-C1pres-C2del
bj,fj,substitution-C1sub-C2pres
bj,w,reduction-C1del-C2sub
bj,b,reduction-C1pres-C2del
bj,b,reduction-C1pres-C2del
bj,v,reduction-C1sub-C2del
bj,b,reduction-C1pres-C2del
bj,vj,substitution-C1sub-C2pres
bj,β,reduction-C1sub-C2del
bl,bl,accurate
bl,bl,accurate
bl,b,reduction-C1pres-C2del
bl,bj,substitution-C1pres-C2sub
bl,b,reduction-C1pres-C2del
bl,b,reduction-C1pres-C2del
bl,b,reduction-C1pres-C2del
bl,bl,accurate
bl,bl,accurate
bl,bl,accurate
bl,l,reduction-C1del-C2pres
bl,bl,accurate
bl,bl,accurate
bl,b,reduction-C1pres-C2del
bl,b,reduction-C1pres-C2del
bw,bw,accurate
bw,bw,accurate
bw,bj,substitution-C1pres-C2sub
bw,β,reduction-C1sub-C2del
bw,w,reduction-C1del-C2pres
bw,ᵇ̵w,reduction-C1del-C2sub
bw,v,reduction-C1sub-C2del
bw,bʌˈb,epenthesis
bw,b,reduction-C1pres-C2del
bɹ,b,reduction-C1pres-C2del
bɹ,b,reduction-C1pres-C2del
bɹ,b,reduction-C1pres-C2del
bɹ,b,reduction-C1pres-C2del
bɹ,b,reduction-C1pres-C2del
bɹ,b,reduction-C1pres-C2del
bɹ,b,reduction-C1pres-C2del
bɹ,bɹ,accurate
bɹ,bɹ,accurate
bɹ,b,reduction-C1pres-C2del
bɹ,b,reduction-C1pres-C2del
bɹ,b,reduction-C1pres-C2del
bɹ,b,reduction-C1pres-C2del
bɾ,b,reduction-C1pres-C2del
bɾ,bʳ,reduction-C1sub-C2del
bɾ,bɹ,substitution-C1pres-C2sub
bɾ,bw,substitution-C1pres-C2sub
bɾ,b,reduction-C1pres-C2del
bɾ,bj,substitution-C1pres-C2sub
bɾ,bl,substitution-C1pres-C2sub
bɾ,w,reduction-C1sub-C2del
bɾ,bɹ,substitution-C1pres-C2sub
bɾ,d͈,reduction-C1del-C2sub
bɾ,d͈,reduction-C1del-C2sub
bɾ,b,reduction-C1pres-C2del
bɾ,∅,deletion
bɾ,mv,substitution-C1sub-C2sub
bɾ,b,reduction-C1pres-C2del
bɾ,b,reduction-C1pres-C2del
bɾ,p,reduction-C1sub-C2del
bɾ,b,reduction-C1pres-C2del
bɾ,bj,substitution-C1pres-C2sub
dj,dj,accurate
dj,j,reduction-C1del-C2pres
dj,w,reduction-C1del-C2sub
dj,dj,accurate
dj,dj,accurate
dj,d,reduction-C1pres-C2del
dj,d,reduction-C1pres-C2del
dj,j,reduction-C1del-C2pres
dj,d,reduction-C1pres-C2del
dw,w,reduction-C1del-C2pres
dw,d,reduction-C1pres-C2del
dw,d,reduction-C1pres-C2del
dw,d,reduction-C1pres-C2del
dw,b,reduction-C1sub-C2del
dw,b,reduction-C1sub-C2del
dw,∅,deletion
dw,d,reduction-C1pres-C2del
dw,d,reduction-C1pres-C2del
dɹ,d,reduction-C1pres-C2del
dɹ,t,reduction-C1sub-C2del
dɹ,ʧ,reduction-C1sub-C2del
dɹ,d,reduction-C1pres-C2del
dɹ,d,reduction-C1pres-C2del
dɹ,d,reduction-C1pres-C2del
dɹ,d,reduction-C1pres-C2del
dɹ,d,reduction-C1pres-C2del
dɹ,d,reduction-C1pres-C2del
dɹ,d,reduction-C1pres-C2del
dɹ,d,reduction-C1pres-C2del
dɹ,d,reduction-C1pres-C2del
dɾ,t,reduction-C1sub-C2del
dɾ,d,reduction-C1pres-C2del
dɾ,j,reduction-C1del-C2sub
dɾ,l,reduction-C1sub-C2del
dɾ,d͈,reduction-C1sub-C2del
dɾ,d͈,reduction-C1sub-C2del
dɾ,d,reduction-C1pres-C2del
dɾ,dɾ,accurate
dɾ,d,reduction-C1pres-C2del
dɾ,d,reduction-C1pres-C2del
fj,f,reduction-C1pres-C2del
fj,f,reduction-C1pres-C2del
fj,fi,epenthesis
fj,fj,accurate
fj,fl,substitution-C1pres-C2sub
fj,fl,substitution-C1pres-C2sub
fj,f,reduction-C1pres-C2del
fj,f,reduction-C1pres-C2del
fj,f,reduction-C1pres-C2del
fl,fl,accurate
fl,fl,accurate
fl,fl,accurate
fl,f,reduction-C1pres-C2del
fl,f,reduction-C1pres-C2del
fl,f,reduction-C1pres-C2del
fl,f,reduction-C1pres-C2del
fl,f,reduction-C1pres-C2del
fl,f,reduction-C1pres-C2del
fl,f,reduction-C1pres-C2del
fl,fl,accurate
fl,fl,accurate
fl,fl,accurate
fl,fl,accurate
fl,fel,epenthesis
fl,f,reduction-C1pres-C2del
fl,f,reduction-C1pres-C2del
fl,f,reduction-C1pres-C2del
fw,fw,accurate
fw,f,reduction-C1pres-C2del
fw,f,reduction-C1pres-C2del
fw,fw,accurate
fw,fw,accurate
fw,fw,accurate
fw,f,reduction-C1pres-C2del
fw,fj,substitution-C1pres-C2sub
fw,f,reduction-C1pres-C2del
fɹ,f,reduction-C1pres-C2del
fɹ,f,reduction-C1pres-C2del
fɹ,f,reduction-C1pres-C2del
fɹ,fɹ,accurate
fɹ,fw,substitution-C1pres-C2sub
fɹ,fw,substitution-C1pres-C2sub
fɾ,f,reduction-C1pres-C2del
fɾ,fij,epenthesis
fɾ,fɹ,substitution-C1pres-C2sub
fɾ,f,reduction-C1pres-C2del
fɾ,fl,substitution-C1pres-C2sub
fɾ,fɹ,substitution-C1pres-C2sub
fɾ,fɹ,substitution-C1pres-C2sub
fɾ,f,reduction-C1pres-C2del
fɾ,f,reduction-C1pres-C2del
fɾ,f,reduction-C1pres-C2del
fɾ,f,reduction-C1pres-C2del
kj,kj,accurate
kj,kj,accurate
kj,kj,accurate
kj,k,reduction-C1pres-C2del
kj,kj,accurate
kj,k,reduction-C1pres-C2del
kj,k,reduction-C1pres-C2del
kj,kj,accurate
kj,kj,accurate
kj,k,reduction-C1pres-C2del
kj,kj,accurate
kj,k,reduction-C1pres-C2del
kj,k,reduction-C1pres-C2del
kl,kl,accurate
kl,kl,accurate
kl,kl,accurate
kl,k,reduction-C1pres-C2del
kl,kl,accurate
kl,k,reduction-C1pres-C2del
kl,k,reduction-C1pres-C2del
kl,k,reduction-C1pres-C2del
kl,kl,accurate
kl,kl,accurate
kl,kl,accurate
kl,k,reduction-C1pres-C2del
kl,k,reduction-C1pres-C2del
kl,k,reduction-C1pres-C2del
kl,kl,accurate
kl,kl,accurate
kl,∅,deletion
kl,k,reduction-C1pres-C2del
kl,k,reduction-C1pres-C2del
kw,k,reduction-C1pres-C2del
kw,k,reduction-C1pres-C2del
kw,kj,substitution-C1pres-C2sub
kw,kj,substitution-C1pres-C2sub
