,0,1
0,"['bw', 'bʌb']",OTHER_epenthesis-C1pres-C1pres
1,"['ɡɾ', 'ɡij']",OTHER_epenthesis-C1pres-C1sub
2,"['pj', 'pin']",OTHER_epenthesis-C1pres-C1sub
3,"['rj', 'ɡaj']",OTHER_epenthesis-C2sub-C2pres
4,"['bj', 'wej']",OTHER_epenthesis-C2sub-C2pres
5,"['bl', 'bᵊw']",OTHER_epenthesis-C1pres-C1sub
6,"['bl', 'buwˡ']",OTHER_epenthesis-C1pres-C1sub
7,"['bɹ', 'wal']",OTHER_epenthesis-C2sub-C2sub
8,"['kɾ', 'kʌw']",OTHER_epenthesis-C1pres-C1sub
9,"['bɹ', 'vin']",OTHER_epenthesis-C1sub-C1sub
10,"['lj', 'wij']",OTHER_epenthesis-C2sub-C2pres
11,"['nj', 'wij']",OTHER_epenthesis-C2sub-C2pres
12,"['rj', 'wij']",OTHER_epenthesis-C2sub-C2pres
13,"['rj', 'wij']",OTHER_epenthesis-C2sub-C2pres
14,"['rj', 'wij']",OTHER_epenthesis-C2sub-C2pres
15,"['rj', 'wij']",OTHER_epenthesis-C2sub-C2pres
16,"['rj', 'w̪ij']",OTHER_epenthesis-C2sub-C2pres
17,"['rj', 'wij']",OTHER_epenthesis-C2sub-C2pres
18,"['rj', 'wij']",OTHER_epenthesis-C2sub-C2pres
19,"['θɹ', 'fen']",OTHER_epenthesis-C1sub-C1sub
20,"['bɾ', 'bat']",OTHER_epenthesis-C1pres-C1sub
21,"['ʝw', 'jan']",OTHER_epenthesis-C1sub-C1sub
22,"['kl', 'kᵊw']",OTHER_epenthesis-C1pres-C1sub
23,"['fl', 'fɑw']",OTHER_epenthesis-C1pres-C1sub
24,"['rj', 'wej']",OTHER_epenthesis-C2sub-C2pres
25,"['bw', 'bʌb']",OTHER_epenthesis-C1pres-C1pres
26,"['bj', 'wej']",OTHER_epenthesis-C2sub-C2pres
27,"['dɾ', 'mon']",OTHER_epenthesis-C1sub-C1sub
28,"['kj', 'kwij']",OTHER_epenthesis-C1pres-C2sub-C2pres
29,"['rj', 'vij']",OTHER_epenthesis-C2sub-C2pres
30,"['rj', 'wij']",OTHER_epenthesis-C2sub-C2pres
31,"['rj', 'wij']",OTHER_epenthesis-C2sub-C2pres
32,"['rj', 'wij']",OTHER_epenthesis-C2sub-C2pres
