,0,1
0,"['bɾ', 'bw']",OTHER_substitution-C1pres-C1sub
1,"['bɾ', 'mv']",OTHER_substitution-C1sub-C1sub
2,"['kɾ', 'kj']",OTHER_substitution-C1pres-C1sub
3,"['kɾ', 'kj']",OTHER_substitution-C1pres-C1sub
4,"['kɾ', 'kj']",OTHER_substitution-C1pres-C1sub
5,"['pl', 'pw']",OTHER_substitution-C1pres-C1sub
6,"['pl', 'pw']",OTHER_substitution-C1pres-C1sub
7,"['rj', 'ɹl']",OTHER_substitution-C1sub-C1sub
8,"['rj', 'nd']",OTHER_substitution-C1sub-C1sub
9,"['sj', 'ʦt']",OTHER_substitution-C1sub-C1sub
10,"['sk', 'sp']",OTHER_substitution-C1pres-C1sub
11,"['sw', 'sf']",OTHER_substitution-C1pres-C1sub
12,"['ɡw', 'ɡl']",OTHER_substitution-C1pres-C1sub
13,"['ɡɹ', 'ɡj']",OTHER_substitution-C1pres-C1sub
14,"['bl', 'bw']",OTHER_substitution-C1pres-C1sub
15,"['bl', 'bw']",OTHER_substitution-C1pres-C1sub
16,"['bɾ', 'bw']",OTHER_substitution-C1pres-C1sub
17,"['fl', 'fw']",OTHER_substitution-C1pres-C1sub
18,"['kl', 'kw']",OTHER_substitution-C1pres-C1sub
19,"['kl', 'kw']",OTHER_substitution-C1pres-C1sub
20,"['kl', 'kw']",OTHER_substitution-C1pres-C1sub
21,"['kɾ', 'kw']",OTHER_substitution-C1pres-C1sub
22,"['kɾ', 'kwʴ']",OTHER_substitution-C1pres-C1sub
23,"['kɾ', 'kw']",OTHER_substitution-C1pres-C1sub
24,"['kɾ', 'kw']",OTHER_substitution-C1pres-C1sub
25,"['kɾ', 'kw']",OTHER_substitution-C1pres-C1sub
26,"['kɾ', 'kw']",OTHER_substitution-C1pres-C1sub
27,"['nj', 'ɲj']",OTHER_substitution-C2sub-C2pres
28,"['pw', 'pw̾']",OTHER_substitution-C1pres-C1sub
29,"['ɡl', 'ɡw']",OTHER_substitution-C1pres-C1sub
30,"['ɡl', 'ɡw']",OTHER_substitution-C1pres-C1sub
31,"['bl', 'bw']",OTHER_substitution-C1pres-C1sub
32,"['bl', 'bw']",OTHER_substitution-C1pres-C1sub
33,"['bl', 'bw']",OTHER_substitution-C1pres-C1sub
34,"['bl', 'bw']",OTHER_substitution-C1pres-C1sub
35,"['fl', 'fw']",OTHER_substitution-C1pres-C1sub
36,"['fɾ', 'fw']",OTHER_substitution-C1pres-C1sub
37,"['fɾ', 'fw']",OTHER_substitution-C1pres-C1sub
38,"['fɾ', 'fw']",OTHER_substitution-C1pres-C1sub
39,"['kl', 'kw']",OTHER_substitution-C1pres-C1sub
40,"['kɾ', 'kw']",OTHER_substitution-C1pres-C1sub
41,"['kɾ', 'kw']",OTHER_substitution-C1pres-C1sub
42,"['kɾ', 'kw']",OTHER_substitution-C1pres-C1sub
43,"['kɾ', 'kw']",OTHER_substitution-C1pres-C1sub
44,"['kɾ', 'kw']",OTHER_substitution-C1pres-C1sub
45,"['nj', 'ɲj']",OTHER_substitution-C2sub-C2pres
46,"['pl', 'pw']",OTHER_substitution-C1pres-C1sub
47,"['rj', 'wj']",OTHER_substitution-C2sub-C2pres
48,"['rw', 'ʝw']",OTHER_substitution-C2sub-C2pres
49,"['bl', 'bw']",OTHER_substitution-C1pres-C1sub
50,"['bl', 'mb']",OTHER_substitution-C1sub-C1pres
51,"['fl', 'fw']",OTHER_substitution-C1pres-C1sub
52,"['fɹ', 'fɹʷ']",OTHER_substitution-C1pres-C1sub
53,"['kl', 'kj']",OTHER_substitution-C1pres-C1sub
54,"['pl', 'pf']",OTHER_substitution-C1pres-C1sub
55,"['pw', 'pwʴ']",OTHER_substitution-C1pres-C1sub
56,"['rj', 'vj']",OTHER_substitution-C2sub-C2pres
57,"['rj', 'mw']",OTHER_substitution-C2sub-C2sub
58,"['sl', 'sv']",OTHER_substitution-C1pres-C1sub
59,"['sl', 'sf']",OTHER_substitution-C1pres-C1sub
60,"['sl', 'sv']",OTHER_substitution-C1pres-C1sub
61,"['sl', 'sf']",OTHER_substitution-C1pres-C1sub
62,"['sl', 'sf']",OTHER_substitution-C1pres-C1sub
63,"['sn', 'sw']",substitution-C1pres-C2sub
64,"['spl', 'spw']",OTHER_substitution-C1pres-C2pres-C2sub
65,"['sw', 'sf']",OTHER_substitution-C1pres-C1sub
66,"['sw', 'sf']",OTHER_substitution-C1pres-C1sub
67,"['sw', 'sf']",OTHER_substitution-C1pres-C1sub
68,"['sw', 'sv']",OTHER_substitution-C1pres-C1sub
69,"['sw', 'sv']",OTHER_substitution-C1pres-C1sub
70,"['sw', 'sv']",OTHER_substitution-C1pres-C1sub
71,"['sw', 'sf']",OTHER_substitution-C1pres-C1sub
72,"['sw', 'sf']",OTHER_substitution-C1pres-C1sub
73,"['sw', 'sf']",OTHER_substitution-C1pres-C1sub
74,"['sw', 'sf']",OTHER_substitution-C1pres-C1sub
75,"['sw', 'sv']",OTHER_substitution-C1pres-C1sub
76,"['sw', 'sv']",OTHER_substitution-C1pres-C1sub
77,"['sw', 'sf']",OTHER_substitution-C1pres-C1sub
78,"['sw', 'sf']",OTHER_substitution-C1pres-C1sub
79,"['sw', 'sf']",OTHER_substitution-C1pres-C1sub
80,"['tɹ', 'sf']",OTHER_substitution-C1sub-C1sub
81,"['tɹ', 'sf']",OTHER_substitution-C1sub-C1sub
82,"['ɡl', 'ɡw']",OTHER_substitution-C1pres-C1sub
83,"['ɡl', 'ɡw']",OTHER_substitution-C1pres-C1sub
84,"['ɡɾ', 'ɡw']",OTHER_substitution-C1pres-C1sub
85,"['ɡɾ', 'ɡw']",OTHER_substitution-C1pres-C1sub
86,"['ʃɹ', 'sf']",OTHER_substitution-C1sub-C1sub
87,"['ʃɹ', 'sf']",OTHER_substitution-C1sub-C1sub
88,"['ʃɹ', 'ʃf']",OTHER_substitution-C1pres-C1sub
89,"['ʃɹ', 'fe']",substitution-C1sub-C2sub
90,"['ʃɹ', 'sf']",OTHER_substitution-C1sub-C1sub
91,"['ʃɹ', 'sf']",OTHER_substitution-C1sub-C1sub
92,"['ʝw', 'mj']",OTHER_substitution-C1sub-C1sub
93,"['ʝw', 'bj']",OTHER_substitution-C1sub-C1sub
94,"['fl', 'fs']",OTHER_substitution-C1pres-C1sub
95,"['fɾ', 'fw']",OTHER_substitution-C1pres-C1sub
96,"['nw', 'aw']",OTHER_substitution-C2sub-C2pres
97,"['bj', 'bl']",OTHER_substitution-C1pres-C1sub
98,"['bj', 'bl']",OTHER_substitution-C1pres-C1sub
99,"['bl', 'nl']",OTHER_substitution-C2sub-C2pres
100,"['bɾ', 'bw']",OTHER_substitution-C1pres-C1sub
101,"['fɾ', 'fw']",OTHER_substitution-C1pres-C1sub
102,"['fɾ', 'fw']",OTHER_substitution-C1pres-C1sub
103,"['fɾ', 'fw']",OTHER_substitution-C1pres-C1sub
104,"['mj', 'ml']",OTHER_substitution-C1pres-C1sub
105,"['pw', 'pl']",OTHER_substitution-C1pres-C1sub
106,"['sj', 'sl']",OTHER_substitution-C1pres-C1sub
107,"['skɹ', 'skl']",OTHER_substitution-C1pres-C2pres-C1sub
108,"['sw', 'sl']",OTHER_substitution-C1pres-C1sub
109,"['tw', 'tɾ']",OTHER_substitution-C1pres-C1sub
110,"['ɡw', 'ɡl']",OTHER_substitution-C1pres-C1sub
111,"['bɾ', 'br']",OTHER_substitution-C1pres-C1sub
112,"['fɾ', 'fr']",OTHER_substitution-C1pres-C1sub
113,"['kl', 'tɾ']",OTHER_substitution-C2sub-C2sub
114,"['kl', 'tl']",OTHER_substitution-C2sub-C2pres
115,"['pɾ', 'pr']",OTHER_substitution-C1pres-C1sub
116,"['rj', 'bj']",OTHER_substitution-C2sub-C2pres
117,"['rw', 'dr']",OTHER_substitution-C1sub-C1pres
118,"['rw', 'dr']",OTHER_substitution-C1sub-C1pres
119,"['skɹ', 'stɹ']",OTHER_substitution-C1pres-C1sub-C3pres
120,"['spɹ', 'spr']",substitution-C1pres-C2pres-C3sub
121,"['tj', 'tɾ']",OTHER_substitution-C1pres-C1sub
122,"['tɾ', 'tr']",OTHER_substitution-C1pres-C1sub
123,"['tɾ', 'tr']",OTHER_substitution-C1pres-C1sub
124,"['tɾ', 'kr']",OTHER_substitution-C1sub-C1sub
125,"['bl', 'bw']",OTHER_substitution-C1pres-C1sub
126,"['bl', 'mw']",OTHER_substitution-C1sub-C1sub
127,"['fj', 'ɡj']",OTHER_substitution-C2sub-C2pres
128,"['lw', 'ɡw']",OTHER_substitution-C2sub-C2pres
129,"['rj', 'vj']",OTHER_substitution-C2sub-C2pres
130,"['rj', 'kj']",OTHER_substitution-C2sub-C2pres
131,"['rw', 'ɡw']",OTHER_substitution-C2sub-C2pres
132,"['skɹ', 'skl']",OTHER_substitution-C1pres-C2pres-C1sub
133,"['kl', 'kw']",OTHER_substitution-C1pres-C1sub
134,"['kl', 'kw']",OTHER_substitution-C1pres-C1sub
135,"['pl', 'pw']",OTHER_substitution-C1pres-C1sub
136,"['bɾ', 'mv']",OTHER_substitution-C1sub-C1sub
137,"['rj', 'nd']",OTHER_substitution-C1sub-C1sub
138,"['kɾ', 'kw']",OTHER_substitution-C1pres-C1sub
139,"['kɾ', 'ɡw']",OTHER_substitution-C1sub-C1sub
140,"['ɡl', 'ɡw']",OTHER_substitution-C1pres-C1sub
141,"['bl', 'bw']",OTHER_substitution-C1pres-C1sub
142,"['bl', 'ɡw']",OTHER_substitution-C1sub-C1sub
143,"['bl', 'ɡw']",OTHER_substitution-C1sub-C1sub
144,"['fɾ', 'fw']",OTHER_substitution-C1pres-C1sub
145,"['tw', 'ɡw']",OTHER_substitution-C2sub-C2pres
146,"['bl', 'mb']",OTHER_substitution-C1sub-C1pres
147,"['rj', 'mw']",OTHER_substitution-C2sub-C2sub
148,"['sw', 'sf']",OTHER_substitution-C1pres-C1sub
149,"['sw', 'sf']",OTHER_substitution-C1pres-C1sub
150,"['sw', 'sf']",OTHER_substitution-C1pres-C1sub
151,"['sw', 'sf']",OTHER_substitution-C1pres-C1sub
152,"['sw', 'sf']",OTHER_substitution-C1pres-C1sub
153,"['sw', 'sf']",OTHER_substitution-C1pres-C1sub
